City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
230,Dawlatabad,AF,2021-01-17 23:02:15,36.4141,64.9053,44.67,54,99,2.46
231,Sorsk,RU,2021-01-17 23:02:15,54.0033,90.2467,3.74,91,18,6.91
232,Puerto Del Rosario,ES,2021-01-17 23:02:15,28.5004,-13.8627,60.8,77,40,6.91
233,Yulara,AU,2021-01-17 23:02:16,-25.2406,130.9889,69.8,24,0,11.5
234,Kieta,PG,2021-01-17 23:02:16,-6.2167,155.6333,83.91,72,80,6.24
235,Sijunjung,ID,2021-01-17 23:02:16,-0.6876,100.9537,71.94,92,100,2.8
236,Akureyri,IS,2021-01-17 23:02:16,65.6835,-18.0878,33.8,80,90,3.44
237,Pauini,BR,2021-01-17 23:02:16,-7.7136,-66.9764,82.13,71,70,1.3
238,Te Anau,NZ,2021-01-17 23:02:16,-45.4167,167.7167,49.41,82,93,5.73
239,Tilichiki,RU,2021-01-17 23:02:17,60.4667,166.1,-15.32,84,100,16.58
240,Rocha,UY,2021-01-17 23:02:17,-34.4833,-54.3333,65.39,70,9,9.04
241,Alexandria,EG,2021-01-17 23:02:17,31.2156,29.9553,57.2,72,40,14.97
242,Santa Marta,CO,2021-01-17 23:02:17,11.2408,-74.199,89.01,57,31,1.01
243,Kisangani,CD,2021-01-17 23:02:17,0.5167,25.2,72.07,85,57,2.13
244,Lingao,CN,2021-01-17 23:02:17,19.9103,109.6859,53.87,59,41,11.16
245,Airai,TL,2021-01-17 23:02:18,-8.9266,125.4092,63.72,100,100,1.28
246,Gat,IL,2021-01-17 23:02:18,31.61,34.7642,53.01,100,73,1.01
247,Atambua,ID,2021-01-17 23:02:18,-9.1061,124.8925,75.88,85,100,1.03
248,Dikson,RU,2021-01-17 23:02:18,73.5069,80.5464,-24.34,84,48,19.8
249,San Lawrenz,MT,2021-01-17 23:02:18,36.0553,14.204,57.0,76,40,28.77
250,Mercedes,AR,2021-01-17 23:02:19,-34.6515,-59.4307,73.99,42,0,8.86
251,Carupano,VE,2021-01-17 23:02:19,10.6678,-63.2585,75.58,85,76,8.7
252,Caravelas,BR,2021-01-17 23:02:19,-17.7125,-39.2481,76.21,83,0,6.51
253,Chapais,CA,2021-01-17 23:02:19,49.7834,-74.8492,15.8,92,90,16.11
254,Aklavik,CA,2021-01-17 23:02:19,68.2191,-135.0107,-4.0,84,86,4.61
255,Dingle,PH,2021-01-17 23:02:20,10.9995,122.6711,74.91,92,100,7.56
256,Paciran,ID,2021-01-17 23:02:20,-6.8767,112.3761,77.29,85,100,9.19
257,Nyurba,RU,2021-01-17 23:02:20,63.2842,118.3319,-33.54,82,100,5.5
258,Saint George,US,2021-01-17 22:59:46,37.1041,-113.5841,61.0,24,1,0.2
259,Spilimbergo,IT,2021-01-17 23:02:20,46.1125,12.8969,30.99,74,13,3.0
260,Broome,US,2021-01-17 23:02:21,42.2506,-75.833,36.0,69,90,12.66
261,Colares,PT,2021-01-17 23:02:21,38.7992,-9.4469,53.01,63,83,5.93
262,Luzhou,CN,2021-01-17 23:02:21,28.8724,105.4405,38.88,79,35,3.44
263,Atar,MR,2021-01-17 23:02:21,20.5169,-13.0499,64.11,24,89,14.5
264,Kloulklubed,PW,2021-01-17 23:02:21,7.0419,134.2556,75.2,88,90,6.91
265,Racale,IT,2021-01-17 23:02:21,39.9631,18.0938,39.2,100,75,4.61
266,Riyadh,SA,2021-01-17 22:58:49,24.6877,46.7219,62.6,27,0,4.27
267,Hasaki,JP,2021-01-17 23:00:33,35.7333,140.8333,34.0,80,75,6.91
268,Kasongo-Lunda,CD,2021-01-17 23:02:12,-6.4667,16.8167,68.77,80,100,0.81
269,Port Hardy,CA,2021-01-17 23:00:50,50.6996,-127.4199,48.2,93,75,2.3
270,Oistins,BB,2021-01-17 22:58:17,13.0667,-59.5333,78.8,73,40,19.57
271,Baoqing,CN,2021-01-17 23:02:22,46.3317,132.2111,-4.47,92,100,1.63
272,Tomatlan,MX,2021-01-17 23:02:22,19.9333,-105.25,81.41,45,0,4.72
273,Nipawin,CA,2021-01-17 23:02:23,53.3668,-104.0009,5.0,85,90,11.5
274,Lorengau,PG,2021-01-17 23:02:23,-2.0226,147.2712,84.97,74,82,15.19
275,Ejby,DK,2021-01-17 23:02:23,55.4858,12.0817,28.0,86,90,4.61
276,Puerto El Triunfo,SV,2021-01-17 23:02:23,13.2833,-88.55,93.2,40,20,5.75
277,Alamosa,US,2021-01-17 23:02:23,37.4695,-105.87,46.4,19,1,9.22
278,Victor Harbor,AU,2021-01-17 23:02:24,-35.5667,138.6167,62.01,82,95,3.0
